UniqueID,Variable,EMS_Code,Use,Media,Type,Days,Samples,Statistic,Notes,Condition,ConditionNotes,PredictedEffectLevel,Direction,Limit,LimitNotes,Units,Status,Reference,Reference Link,Overview Report Link,Technical Document Link
71,Ammonia Total,EMS_0108,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,0<= EMS_0013 & EMS_0013 < 15 & 7.7 <= EMS_0004 & EMS_0004 < 8,,No Effect,Upper Limit,(0.8/(10^(0.03*(20-EMS_0013)))/((1+10^(7.4-EMS_0004))/1.25)/16*0.822*100)/(1/(10^((0.09018+2729.92/(273.2+EMS_0013))-EMS_0004)+1)*100),,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/nitrogen-overview.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/nitrogen-amonia-tech.pdf
72,Ammonia Total,EMS_0108,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,0 <= EMS_0013 & EMS_0013 < 15 & 8 <= EMS_0004 & EMS_0004 <= 9,,No Effect,Upper Limit,(0.8/(10^(0.03*(20-EMS_0013)))/16*0.822*100)/(1/(10^((0.09018+2729.92/(273.2+EMS_0013))-EMS_0004)+1)*100),,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/nitrogen-overview.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/nitrogen-amonia-tech.pdf
73,Ammonia Total,EMS_0108,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,0<= EMS_0013 & EMS_0013 < 15 & 6.5 <= EMS_0004 & EMS_0004 < 7.7,,No Effect,Upper Limit,(0.8/1.14/((1+10^(7.4-EMS_0004))/1.25)/((24*10^(7.7-EMS_0004))/(1+10^(7.4-EMS_0004)))*0.822*100)/(1/(10^((0.09018+2729.92/(273.2+EMS_0013))-EMS_0004)+1)*100),,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/nitrogen-overview.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/nitrogen-amonia-tech.pdf
74,Ammonia Total,EMS_0108,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,0<= EMS_0013 & EMS_0013 < 15 & 7.7 <= EMS_0004 & EMS_0004 < 8,,No Effect,Upper Limit,(0.8/1.14/((1+10^(7.4-EMS_0004))/1.25)/16*0.822*100)/(1/(10^((0.09018+2729.92/(273.2+EMS_0013))-EMS_0004)+1)*100),,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/nitrogen-overview.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/nitrogen-amonia-tech.pdf
75,Ammonia Total,EMS_0108,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,0<= EMS_0013 & EMS_0013 <15 & 8 <= EMS_0004 & EMS_0004 <= 9,,No Effect,Upper Limit,(0.8/1.14/16*0.822*100)/(1/(10^((0.09018+2729.92/(273.2+EMS_0013))-EMS_0004)+1)*100),,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/nitrogen-overview.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/nitrogen-amonia-tech.pdf
76,Aniline Total,,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,No Effect,Upper Limit,2.2,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
77,Anthracene,EMS_PA03,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,Sediment with 1% Organic Carbon,No Effect,Upper Limit,0.6,,ug/g,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-tech.pdf
78,Anthracene,EMS_PA03,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,No Effect,Upper Limit,0.0469,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
79,Anthracene,EMS_PA03,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,Probable Effect,Upper Limit,0.245,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
80,Anthracene,EMS_PA03,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,Non-Phototoxic Environment,No Effect,Upper Limit,4,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-tech.pdf
81,Anthracene,EMS_PA03,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,Phototoxic Environment,No Effect,Upper Limit,0.1,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-tech.pdf
82,Anthracene,EMS_PA03,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,No Effect,Upper Limit,0.0469,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
83,Anthracene,EMS_PA03,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,Probable Effect,Upper Limit,0.245,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
84,Antimony (III),EMS_SB_T,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,No Effect,Upper Limit,9,,ug/L,Working,"Australia and New Zealand Environment and Conservation Council (ANZECC). 2000a. Australian and New Zealand guidelines for fresh and marine water quality, 2000. Volume 1, October 2000. National Water Quality Management Strategy, Paper No. 4. Canberra, AU: Australian and New Zealand Environment and Conservation. 314p.",http://www.waterquality.gov.au/anz-guidelines/resources/previous-guidelines/anzecc-armcanz-2000,,
85,Antimony (III),EMS_SB_T,Aquatic Life - Marine,Water,Long-term chronic,30,5,mean,,,,No Effect,Upper Limit,270,,ug/L,Working,"Australia and New Zealand Environment and Conservation Council (ANZECC). 2000a. Australian and New Zealand guidelines for fresh and marine water quality, 2000. Volume 1, October 2000. National Water Quality Management Strategy, Paper No. 4. Canberra, AU: Australian and New Zealand Environment and Conservation. 314p.",http://www.waterquality.gov.au/anz-guidelines/resources/previous-guidelines/anzecc-armcanz-2000,,
86,Arsenic Total,EMS_AS_T,Agriculture - Irrigation,Water,Short-term acute,1,1,max,,,,No Effect,Upper Limit,100,,ug/L,Interim,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/arsenic-or.pdf,
87,Arsenic Total,EMS_AS_T,Agriculture - Livestock,Water,Short-term acute,1,1,max,,,,No Effect,Upper Limit,25,,ug/L,Interim,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/arsenic-or.pdf,
88,Arsenic Total,EMS_AS_T,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,No Effect,Upper Limit,5.9,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
89,Arsenic Total,EMS_AS_T,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,Probable Effect,Upper Limit,17,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
90,Arsenic Total,EMS_AS_T,Aquatic Life - Freshwater,Water,Short-term acute,1,1,max,,,,No Effect,Upper Limit,5,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/arsenic-or.pdf,
91,Arsenic Total,EMS_AS_T,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,No Effect,Upper Limit,7.24,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
92,Arsenic Total,EMS_AS_T,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,Probable Effect,Upper Limit,42,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
93,Arsenic Total,EMS_AS_T,Aquatic Life - Marine,Water,Short-term acute,1,1,max,,,,No Effect,Upper Limit,12.5,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/arsenic-or.pdf,
94,Arsenic Total,EMS_AS_T,Drinking Water,Water,Maximum Acceptable Concentration,1,1,max,,,,No Effect,Upper Limit,0.01,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/source_drinking_water_quality_guidelines_bcenv.pdf,
95,Arsenic Total,EMS_AS_T,Wildlife,Water,Short-term acute,1,1,max,,,,No Effect,Upper Limit,25,,ug/L,Interim,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/arsenic-or.pdf,
96,Atrazine,EMS_A016,Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,Atrazine + metabolites,,,No Effect,Upper Limit,10,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
97,Atrazine,EMS_A016,Agriculture - Livestock,Water,Long-term chronic,30,5,mean,Atrazine + metabolites,,,No Effect,Upper Limit,5,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
98,Atrazine,EMS_A016,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,"Atrazine + metabolites. New evidence presented in Tillitt et al. (2010) suggests a more conservative value may be needed.  Tillitt, D.E., Papoulias, D.M., Whyte, J.J. and C.A. Richter. 2010. Atrazine reduces reproduction in fathead minnow (Pimephales promelas). Aquatic Toxicology, 15:149-59",,,No Effect,Upper Limit,1.8,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
99,Barium,EMS_BA_T,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,No Effect,Upper Limit,1,,mg/L,Working,"Haywood, G. P., and R. W. Drinnan (Dobrocky Seatech Ltd.). 1983. A Literature Review and Report on Barium Toxicity in Freshwater, In Relation to the Monkman Coal Project, February, 1983, 49 p. (Prepared for: Petro-Canada Exploration Ltd.).",,,
100,Benz(a)anthracene,EMS_PA04,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,Sediment with 1% Organic Carbon,No Effect,Upper Limit,0.2,,ug/g,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-tech.pdf
101,Benz(a)anthracene,EMS_PA04,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,No Effect,Upper Limit,0.0317,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
102,Benz(a)anthracene,EMS_PA04,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,Probable Effect,Upper Limit,0.385,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
103,Benz(a)anthracene,EMS_PA04,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,Non-Phototoxic Environment,No Effect,Upper Limit,0.1,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-tech.pdf
104,Benz(a)anthracene,EMS_PA04,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,Phototoxic Environment,No Effect,Upper Limit,0.1,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-tech.pdf
105,Benz(a)anthracene,EMS_PA04,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,No Effect,Upper Limit,0.0748,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
106,Benz(a)anthracene,EMS_PA04,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,Probable Effect,Upper Limit,0.693,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
107,Benzene,EMS_B020,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,No Effect,Upper Limit,40,,ug/L,Interim,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/benzene/benzene_overview.pdf,
108,Benzene,EMS_B020,Aquatic Life - Marine,Water,Long-term chronic,30,5,mean,,,,No Effect,Upper Limit,110,,ug/L,Interim,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/benzene/benzene_overview.pdf,
109,Benzene,EMS_B020,Drinking Water,Water,Maximum Acceptable Concentration,1,1,max,,,,No Effect,Upper Limit,0.005,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/source_drinking_water_quality_guidelines_bcenv.pdf,
110,Benzo(a)pyrene,EMS_PA05,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,Sediment with 1% Organic Carbon,No Effect,Upper Limit,0.06,,ug/g,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-tech.pdf
111,Benzo(a)pyrene,EMS_PA05,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,No Effect,Upper Limit,0.0319,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
112,Benzo(a)pyrene,EMS_PA05,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,Probable Effect,Upper Limit,0.782,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
113,Benzo(a)pyrene,EMS_PA05,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,No Effect,Upper Limit,0.01,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-tech.pdf
114,Benzo(a)pyrene,EMS_PA05,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,Sediment with 1% Organic Carbon,No Effect,Upper Limit,0.06,,ug/g,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-tech.pdf
115,Benzo(a)pyrene,EMS_PA05,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,No Effect,Upper Limit,0.0888,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
116,Benzo(a)pyrene,EMS_PA05,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,Probable Effect,Upper Limit,0.763,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
117,Benzo(a)pyrene,EMS_PA05,Aquatic Life - Marine,Water,Long-term chronic,30,5,mean,,,,No Effect,Upper Limit,0.01,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-tech.pdf
118,Benzo(a)pyrene,EMS_PA05,Drinking Water,Water,Maximum Acceptable Concentration,1,1,max,,,,No Effect,Upper Limit,0.00001,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/source_drinking_water_quality_guidelines_bcenv.pdf,
119,"Benzo(g,h,i)perylene",EMS_PA07,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,Based on screening level concentration,,,No Effect,Upper Limit,0.17,,ug/g,Working,"Ontario Ministry of Environment and Energy (MOEE). 1993. Guidelines for the protection and management of aquatic sediment quality in Ontario. Report No. ISBN 0772992487. Ontario Ministry of Environment, Water Resources Branch.",,,
120,"Benzo(g,h,i)perylene",EMS_PA07,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,Based on screening level concentration,,,Probable Effect,Upper Limit,0.321,,ug/g,Working,"Ontario Ministry of Environment and Energy (MOEE). 1993. Guidelines for the protection and management of aquatic sediment quality in Ontario. Report No. ISBN 0772992487. Ontario Ministry of Environment, Water Resources Branch.",,,
121,"Benzo(g,h,i)perylene",EMS_PA07,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,effect levels based on screening level concentration,,,No Effect,Upper Limit,0.17,,ug/g,Working,"Ontario Ministry of Environment and Energy (MOEE). 1993. Guidelines for the protection and management of aquatic sediment quality in Ontario. Report No. ISBN 0772992487. Ontario Ministry of Environment, Water Resources Branch.",,,
